0.9375 & 0.0625 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\
0.01961 & 0.9034 & 0 & 0.01471 & 0.007353 & 0 & 0 & 0.03529 & 0 & 0 & 0 & 0.01961 & 0 & 0 \\
0 & 0 & 0.9167 & 0.08333 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\
0 & 0.04167 & 0.00625 & 0.9521 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\
0 & 0.03333 & 0 & 0 & 0.9667 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\
0 & 0 & 0 & 0 & 0 & 0.9286 & 0.07143 & 0 & 0 & 0 & 0 & 0 & 0 & 0 \\
0 & 0 & 0 & 0 & 0 & 0.01042 & 0.9792 & 0.01042 & 0 & 0 & 0 & 0 & 0 & 0 \\
0 & 0.0404 & 0 & 0 & 0 & 0 & 0.0101 & 0.9192 & 0 & 0.0303 & 0 & 0 & 0 & 0 \\
0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.9487 & 0.05128 & 0 & 0 & 0 & 0 \\
0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.01923 & 0.02976 & 0.9295 & 0.001374 & 0.02015 & 0 & 0 \\
0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.07143 & 0.9286 & 0 & 0 & 0 \\
0 & 0.001603 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.05536 & 0 & 0.9378 & 0.004371 & 0.0008741 \\
0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.07407 & 0.9259 & 0 \\
0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0 & 0.04167 & 0 & 0.9583
